,Autocorr,Crosscorr MZ,Crosscorr DZ,Crosscorr NT,Autocorr std,Crosscorr MZ std,Crosscorr DZ std,Crosscorr NT std
S_oc-temp_lat R,0.9528820077732882,0.9670086911658407,0.9169021962524652,0.8650292165699865,0.07909774510526747,0.03742520333585746,0.0541525067530725,0.09547194107988596
S_oc-temp_med_and_Lingual L,0.9707000089092612,0.970250189540648,0.9521635335519366,0.9237550958420916,0.03944602924713021,0.029849789528689837,0.03969624387613186,0.05491435760879745
S_oc-temp_med_and_Lingual R,0.9720332640688469,0.9749526334019585,0.9546381204507065,0.9221116762347669,0.03751207771915271,0.025222524512071832,0.02869254145584218,0.05737288266198802
S_oc_middle_and_Lunatus L,0.9394885895233452,0.9601930666005221,0.8802726737843941,0.8400835174818886,0.09921299325455185,0.035206662014054764,0.06934950754081058,0.11100760556606103
S_oc_middle_and_Lunatus R,0.9441779141091867,0.9680019261313951,0.8814578603746862,0.8486522752247816,0.08851386695365686,0.031226756369847015,0.06645025575912698,0.09976963909806046
S_oc_sup_and_transversal L,0.9422147259806997,0.9543892895883433,0.9152598303892835,0.8468098083914517,0.09364975037840863,0.04126289324348174,0.05606784483758119,0.10240415174648715
S_oc_sup_and_transversal R,0.9380596817553889,0.9622513270459161,0.9068840816809224,0.8384143267531097,0.09380939298202783,0.0504714122815293,0.06610681291807526,0.102751771548249
S_occipital_ant L,0.9535657046725069,0.9640514284116383,0.9199032864911604,0.8740147053472302,0.07698882609452978,0.0404700975103993,0.05072235227421493,0.0840415934155112
S_occipital_ant R,0.9516108412584644,0.9695421107213932,0.9248867241518208,0.875147822440336,0.07439352947443886,0.04784710213181949,0.04193268705129171,0.08330867317962007
S_orbital-H_Shaped L,0.981994244464103,0.9823270352781917,0.9507357112364541,0.9489347336685506,0.023805704625722443,0.01729964531299096,0.051700196313385564,0.03859185534962785
S_orbital-H_Shaped R,0.9815676531556663,0.9826389145394925,0.9513625862278536,0.9479934681741633,0.027638541730910245,0.015931892051141663,0.06226757786101425,0.04255677256705209
S_orbital_lateral L,0.9823177328146854,0.98167136718195,0.9391717558052795,0.9499508107224686,0.02350019930142712,0.020063434121886967,0.0859498116961858,0.04644648695173927
S_orbital_lateral R,0.9798147327676171,0.9742576337068446,0.9486207591041498,0.9476870640293288,0.027937943191835044,0.025528185318505262,0.09173331567249371,0.04857570916396897
S_orbital_med-olfact L,0.980734582308366,0.9834527105650572,0.9569296919950614,0.9484890372479351,0.025654664369798113,0.01671987087209684,0.042384490136344426,0.034698388749199435
S_orbital_med-olfact R,0.980242694176571,0.9808388315738445,0.9654635851278617,0.9484982207584597,0.025964322584465807,0.0159765465504988,0.031052835819447518,0.03394714993632409
S_parieto_occipital L,0.9430662666566881,0.9516817733789926,0.9007006395555645,0.8526910828118799,0.08314846330935044,0.05431312562894134,0.05795068018980666,0.09265100003983814
S_parieto_occipital R,0.9440571480706446,0.9604867057154388,0.912680659810293,0.8488153716584546,0.08173874201760215,0.03157717644757061,0.051614836895996476,0.0983834874307617
S_pericallosal L,0.9733761247362485,0.9741226748159579,0.9570761562575735,0.9321890017362546,0.0312020251133896,0.023149753067373612,0.03676293481597245,0.04118921060753116
S_pericallosal R,0.974543953069165,0.9654982646223359,0.9555872589938856,0.9354407493001665,0.03022269071168509,0.03161715328221623,0.02921688267711947,0.04041208397731886
S_postcentral L,0.9232756133740292,0.936118309454434,0.8404460069695028,0.8098638560478502,0.11143933497727225,0.0729294069958202,0.10487629794663655,0.11678515880264441
S_postcentral R,0.9177627599883049,0.9414233373806099,0.8712830138633829,0.8131131566519952,0.12233343802937519,0.07668493539856357,0.10866820967148946,0.11536783134295699
S_precentral-inf-part L,0.9674044964901881,0.9618785517611098,0.9308540226819221,0.9149590306675145,0.05132374536844275,0.04531712879347575,0.06258362933512564,0.05840916552211004
S_precentral-inf-part R,0.9657793598928799,0.9650434800865598,0.940782915802603,0.9110193712351988,0.051573898846624756,0.0436259724515229,0.04589617312524017,0.05970894776252196
S_precentral-sup-part L,0.9470748714838341,0.949731315012286,0.924527556077993,0.866174361806374,0.07968309469604347,0.04157386794363928,0.05140259345549141,0.08720960314809467
S_precentral-sup-part R,0.9500106872984732,0.9453250516777828,0.9365535653738802,0.8758354879846492,0.07106505006905993,0.05038110662882423,0.041592102513371546,0.08048324440843671
